ticker,name,market_cap,price,sector,market
CINT,Cint Group AB (publ),2.47B,6.95,Unknown,OMX Stockholm
TEQ,Teqnion AB (publ),2.45B,142.80,Unknown,OMX Stockholm
NREST,Nordrest Holding AB (publ),2.44B,186.20,Unknown,OMX Stockholm
NEOBO,Neobo Fastigheter AB (publ),2.44B,16.65,Unknown,OMX Stockholm
SEYE,Smart Eye AB (publ),2.43B,65.00,Unknown,OMX Stockholm
EQL,EQL Pharma AB (publ),2.43B,83.50,Unknown,OMX Stockholm
BINV,BioInvent International AB (publ),2.42B,36.85,Unknown,OMX Stockholm
DVYSR,Devyser Diagnostics AB (publ),2.41B,147.80,Unknown,OMX Stockholm
FMM.B,FM Mattsson AB (publ),2.41B,57.00,Unknown,OMX Stockholm
BESQAB,Besqab AB (publ),2.34B,22.60,Unknown,OMX Stockholm
DUST,Dustin Group AB (publ),2.33B,1.715,Unknown,OMX Stockholm
NELLY,Nelly Group AB (publ),2.33B,76.30,Unknown,OMX Stockholm
IAR.B,IAR Systems Group AB (publ),2.27B,178.00,Unknown,OMX Stockholm
KABE.B,KABE Group AB (publ.),2.25B,248.50,Unknown,OMX Stockholm
LYKO.A,Lyko Group AB (publ),2.16B,141.40,Unknown,OMX Stockholm
AGROUP,Arlandastad Group AB (publ),2.15B,34.90,Unknown,OMX Stockholm
VEFAB,VEF AB (publ),2.14B,2.145,Unknown,OMX Stockholm
FLAT.B,Flat Capital AB (publ),2.09B,22.25,Unknown,OMX Stockholm
VERT.B,Vertiseit AB (publ),2.08B,69.60,Unknown,OMX Stockholm
HUM,Humana AB (publ),2.04B,41.10,Unknown,OMX Stockholm
CARA,Carasent AB (publ),2.01B,28.20,Unknown,OMX Stockholm
STIL,Stille AB,2.00B,225.00,Unknown,OMX Stockholm
ELAN.B,Elanders AB (publ),1.97B,55.00,Unknown,OMX Stockholm
EXS,Exsitec Holding AB (publ),1.96B,142.00,Unknown,OMX Stockholm
GOMX,GomSpace Group AB (publ),1.95B,11.56,Unknown,OMX Stockholm
EGTX,Egetis Therapeutics AB (publ),1.92B,5.42,Unknown,OMX Stockholm
DICOT,Dicot Pharma AB,1.91B,0.826,Unknown,OMX Stockholm
GPG,Genova Property Group AB (publ),1.90B,41.60,Unknown,OMX Stockholm
EWRK,Ework Group AB (publ),1.89B,109.60,Unknown,OMX Stockholm
FG,Fasadgruppen Group AB (publ),1.87B,34.50,Unknown,OMX Stockholm
BICO,BICO Group AB (publ),1.83B,25.94,Unknown,OMX Stockholm
AJA.B,Byggmästare Anders J Ahlström Holding AB (publ),1.81B,257.00,Unknown,OMX Stockholm
ARP,Arctic Paper S.A.,1.75B,25.25,Unknown,OMX Stockholm
PAX,Paxman AB (publ),1.74B,73.40,Unknown,OMX Stockholm
OSSD,OssDsign AB (publ),1.67B,14.50,Unknown,OMX Stockholm
PCELL,PowerCell Sweden AB (publ),1.66B,28.74,Unknown,OMX Stockholm
SANION,Saniona AB (publ),1.64B,11.54,Unknown,OMX Stockholm
RUG,RugVista Group AB (publ),1.62B,78.00,Unknown,OMX Stockholm
XSPRAY,Xspray Pharma AB (publ),1.62B,42.50,Unknown,OMX Stockholm
SVIK,Studsvik AB (publ),1.61B,196.00,Unknown,OMX Stockholm
ANNE.B,Annehem Fastigheter AB,1.60B,18.20,Unknown,OMX Stockholm
VISC,Gruvaktiebolaget Viscaria,1.60B,14.80,Unknown,OMX Stockholm
FPIP,Formpipe Software AB (publ),1.57B,29.00,Unknown,OMX Stockholm
GENO,Genovis AB (publ.),1.56B,22.95,Unknown,OMX Stockholm
